freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.490e+02,1.582e+01,1.373e+01,1.786e+02
1.5,9.583e+01,2.384e+01,5.522e+01,1.749e+02
3.0,2.307e+01,1.901e+01,5.776e+01,9.984e+01
4.5,2.062e+02,2.133e+01,6.015e+01,2.877e+02
6.0,8.085e+02,3.315e+01,6.198e+01,9.036e+02
7.5,1.337e+03,4.305e+01,6.415e+01,1.444e+03
9.0,1.897e+03,5.204e+01,5.910e+01,2.008e+03
10.5,2.614e+03,6.153e+01,5.865e+01,2.734e+03
11.9,3.526e+03,7.417e+01,5.911e+01,3.659e+03
13.4,4.554e+03,9.284e+01,6.057e+01,4.707e+03
14.9,5.741e+03,9.282e+01,6.618e+01,5.900e+03
16.4,6.761e+03,8.857e+01,8.687e+01,6.936e+03
17.9,7.136e+03,1.097e+02,1.153e+02,7.361e+03
19.4,7.952e+03,1.246e+02,1.336e+02,8.210e+03
20.9,9.719e+03,1.368e+02,1.391e+02,9.994e+03
22.4,1.166e+04,1.607e+02,1.572e+02,1.197e+04
23.9,1.285e+04,1.901e+02,1.532e+02,1.319e+04
25.4,1.386e+04,2.229e+02,1.040e+02,1.419e+04
26.9,1.577e+04,2.633e+02,7.703e+01,1.611e+04
28.4,1.792e+04,2.911e+02,6.722e+01,1.828e+04
29.9,2.002e+04,3.181e+02,5.968e+01,2.040e+04
31.4,2.221e+04,3.454e+02,6.077e+01,2.262e+04
32.9,2.445e+04,3.594e+02,6.712e+01,2.487e+04
34.4,2.665e+04,3.796e+02,6.506e+01,2.709e+04
35.8,2.856e+04,3.917e+02,7.531e+01,2.903e+04
37.3,3.073e+04,4.274e+02,8.549e+01,3.124e+04
38.8,3.316e+04,4.950e+02,1.044e+02,3.376e+04
40.3,3.567e+04,5.292e+02,1.087e+02,3.631e+04
41.8,3.728e+04,5.427e+02,1.131e+02,3.793e+04
43.3,3.671e+04,5.308e+02,9.631e+01,3.734e+04
44.8,3.483e+04,4.755e+02,8.677e+01,3.539e+04
46.3,3.319e+04,4.382e+02,8.121e+01,3.371e+04
47.8,3.279e+04,4.215e+02,8.303e+01,3.330e+04
49.3,3.268e+04,4.124e+02,9.129e+01,3.318e+04
50.8,3.539e+04,4.192e+02,1.093e+02,3.592e+04
52.3,3.879e+04,4.289e+02,1.251e+02,3.934e+04
53.8,3.912e+04,4.322e+02,1.266e+02,3.967e+04
55.3,3.126e+04,3.741e+02,1.216e+02,3.176e+04
56.8,2.701e+04,3.694e+02,1.310e+02,2.751e+04
58.2,3.090e+04,4.400e+02,1.495e+02,3.149e+04
59.7,3.981e+04,5.060e+02,1.697e+02,4.049e+04
61.2,4.724e+04,5.265e+02,2.059e+02,4.797e+04
62.7,5.330e+04,5.662e+02,2.300e+02,5.410e+04
64.2,6.123e+04,6.686e+02,2.107e+02,6.211e+04
65.7,6.907e+04,7.350e+02,2.300e+02,7.004e+04
67.2,7.819e+04,8.428e+02,2.725e+02,7.931e+04
68.7,8.830e+04,9.579e+02,3.242e+02,8.958e+04
70.2,9.782e+04,1.074e+03,3.792e+02,9.927e+04
71.7,1.096e+05,1.242e+03,4.169e+02,1.112e+05
73.2,1.309e+05,1.511e+03,5.011e+02,1.329e+05
74.7,1.597e+05,1.761e+03,6.123e+02,1.620e+05
76.2,1.918e+05,2.008e+03,7.502e+02,1.946e+05
77.7,2.124e+05,2.208e+03,8.303e+02,2.155e+05
79.2,2.552e+05,2.885e+03,9.802e+02,2.590e+05
80.7,3.195e+05,4.474e+03,1.413e+03,3.254e+05
82.1,3.670e+05,7.472e+03,1.977e+03,3.764e+05
83.6,3.937e+05,1.256e+04,2.649e+03,4.089e+05
85.1,3.814e+05,1.877e+04,3.711e+03,4.039e+05
86.6,3.628e+05,2.353e+04,4.810e+03,3.912e+05
88.1,3.514e+05,2.998e+04,6.017e+03,3.874e+05
89.6,3.383e+05,4.686e+04,8.450e+03,3.937e+05
91.1,3.294e+05,6.952e+04,1.313e+04,4.120e+05
92.6,3.566e+05,6.243e+04,2.135e+04,4.404e+05
94.1,3.814e+05,6.573e+04,2.854e+04,4.757e+05
95.6,3.815e+05,8.310e+04,3.123e+04,4.959e+05
97.1,3.567e+05,8.853e+04,2.772e+04,4.729e+05
98.6,3.356e+05,9.380e+04,2.431e+04,4.537e+05
100.1,3.198e+05,1.052e+05,2.221e+04,4.472e+05
101.6,3.014e+05,1.088e+05,1.832e+04,4.285e+05
103.1,2.838e+05,1.018e+05,1.388e+04,3.995e+05
104.5,2.690e+05,9.172e+04,1.027e+04,3.710e+05
106.0,2.495e+05,8.034e+04,7.574e+03,3.374e+05
107.5,2.216e+05,6.660e+04,5.585e+03,2.938e+05
109.0,1.948e+05,5.413e+04,4.327e+03,2.533e+05
110.5,1.741e+05,4.335e+04,3.534e+03,2.210e+05
112.0,1.483e+05,3.362e+04,2.788e+03,1.847e+05
113.5,1.257e+05,2.697e+04,2.317e+03,1.550e+05
115.0,1.140e+05,2.295e+04,2.358e+03,1.393e+05
116.5,1.037e+05,2.076e+04,2.675e+03,1.271e+05
118.0,9.615e+04,1.915e+04,3.325e+03,1.186e+05
119.5,8.945e+04,1.800e+04,4.265e+03,1.117e+05
121.0,8.456e+04,1.730e+04,5.214e+03,1.071e+05
122.5,8.010e+04,1.603e+04,6.096e+03,1.022e+05
124.0,7.540e+04,1.434e+04,6.969e+03,9.671e+04
125.5,7.021e+04,1.245e+04,8.049e+03,9.072e+04
126.9,6.396e+04,9.833e+03,1.012e+04,8.392e+04
128.4,5.025e+04,8.360e+03,1.140e+04,7.001e+04
129.9,3.380e+04,8.694e+03,9.367e+03,5.186e+04
131.4,2.289e+04,9.609e+03,5.669e+03,3.816e+04
132.9,1.801e+04,1.021e+04,3.235e+03,3.145e+04
134.4,1.585e+04,1.137e+04,2.576e+03,2.979e+04
135.9,1.408e+04,1.326e+04,2.629e+03,2.997e+04
137.4,1.256e+04,1.342e+04,2.508e+03,2.848e+04
138.9,1.139e+04,1.283e+04,2.386e+03,2.661e+04
140.4,1.030e+04,1.226e+04,2.392e+03,2.495e+04
141.9,9.049e+03,1.189e+04,2.526e+03,2.347e+04
143.4,7.993e+03,1.242e+04,2.817e+03,2.323e+04
144.9,7.116e+03,1.294e+04,3.206e+03,2.326e+04
146.4,6.197e+03,1.214e+04,3.448e+03,2.179e+04
147.9,5.131e+03,1.120e+04,3.572e+03,1.991e+04
149.4,4.089e+03,1.030e+04,3.574e+03,1.797e+04
150.8,3.236e+03,9.498e+03,3.446e+03,1.618e+04
152.3,2.644e+03,8.912e+03,3.243e+03,1.480e+04
153.8,2.220e+03,8.443e+03,3.090e+03,1.375e+04
155.3,1.920e+03,7.869e+03,2.910e+03,1.270e+04
156.8,1.824e+03,7.135e+03,2.627e+03,1.159e+04
158.3,2.033e+03,5.819e+03,2.123e+03,9.975e+03
159.8,2.883e+03,4.902e+03,1.782e+03,9.567e+03
161.3,4.171e+03,4.563e+03,1.701e+03,1.044e+04
162.8,6.582e+03,4.332e+03,1.667e+03,1.258e+04
164.3,1.056e+04,4.154e+03,1.643e+03,1.635e+04
165.8,1.570e+04,4.133e+03,1.617e+03,2.145e+04
167.3,2.059e+04,4.145e+03,1.590e+03,2.632e+04
168.8,2.631e+04,4.372e+03,1.520e+03,3.220e+04
170.3,3.338e+04,4.786e+03,1.497e+03,3.966e+04
171.8,4.034e+04,5.197e+03,1.465e+03,4.700e+04
173.2,5.011e+04,5.127e+03,1.367e+03,5.660e+04
174.7,6.735e+04,4.576e+03,1.263e+03,7.319e+04
176.2,8.484e+04,4.043e+03,1.227e+03,9.011e+04
177.7,8.949e+04,3.593e+03,1.204e+03,9.429e+04
179.2,8.403e+04,3.154e+03,1.180e+03,8.836e+04
180.7,8.049e+04,3.056e+03,1.209e+03,8.475e+04
182.2,7.627e+04,3.065e+03,1.275e+03,8.061e+04
183.7,7.249e+04,2.683e+03,1.315e+03,7.649e+04
185.2,6.796e+04,1.989e+03,1.226e+03,7.117e+04
186.7,6.397e+04,2.056e+03,1.297e+03,6.732e+04
188.2,5.910e+04,2.066e+03,1.352e+03,6.252e+04
189.7,5.493e+04,2.127e+03,1.400e+03,5.845e+04
191.2,5.238e+04,2.422e+03,1.499e+03,5.630e+04
192.7,4.913e+04,2.505e+03,1.502e+03,5.314e+04
194.2,4.616e+04,2.395e+03,1.442e+03,5.000e+04
195.7,4.341e+04,2.589e+03,1.509e+03,4.751e+04
197.1,3.326e+04,2.543e+03,1.327e+03,3.713e+04
198.6,2.629e+04,2.719e+03,1.243e+03,3.026e+04
