freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.693e+01,2.888e+02,1.289e+01,3.187e+02
1.5,2.480e+01,1.741e+02,5.689e+01,2.558e+02
3.0,2.081e+01,2.415e+01,6.437e+01,1.093e+02
4.5,2.334e+01,1.745e+02,6.372e+01,2.616e+02
5.9,3.173e+01,7.356e+02,6.537e+01,8.327e+02
7.4,3.616e+01,1.263e+03,6.582e+01,1.365e+03
8.9,4.317e+01,1.822e+03,6.205e+01,1.927e+03
10.4,5.177e+01,2.496e+03,5.980e+01,2.607e+03
11.9,6.573e+01,3.402e+03,6.517e+01,3.533e+03
13.4,8.105e+01,4.506e+03,7.179e+01,4.658e+03
14.8,1.023e+02,5.389e+03,7.996e+01,5.572e+03
16.3,1.287e+02,5.395e+03,8.013e+01,5.604e+03
17.8,1.153e+02,5.851e+03,6.886e+01,6.035e+03
19.3,1.216e+02,7.056e+03,6.197e+01,7.240e+03
20.8,1.536e+02,8.436e+03,6.177e+01,8.652e+03
22.3,1.925e+02,9.910e+03,6.166e+01,1.016e+04
23.7,2.266e+02,1.151e+04,6.248e+01,1.180e+04
25.2,2.293e+02,1.331e+04,6.847e+01,1.361e+04
26.7,2.202e+02,1.518e+04,6.587e+01,1.547e+04
28.2,2.490e+02,1.721e+04,6.459e+01,1.752e+04
29.7,2.808e+02,1.926e+04,6.650e+01,1.961e+04
31.2,3.173e+02,2.123e+04,6.583e+01,2.162e+04
32.6,3.385e+02,2.345e+04,6.575e+01,2.386e+04
34.1,3.624e+02,2.588e+04,7.078e+01,2.632e+04
35.6,3.806e+02,2.810e+04,7.036e+01,2.855e+04
37.1,4.011e+02,3.034e+04,6.538e+01,3.081e+04
38.6,4.271e+02,3.282e+04,6.652e+01,3.332e+04
40.1,4.539e+02,3.563e+04,6.132e+01,3.615e+04
41.5,4.425e+02,3.603e+04,6.189e+01,3.654e+04
43.0,2.842e+02,2.932e+04,6.267e+01,2.967e+04
44.5,2.700e+02,2.891e+04,6.298e+01,2.924e+04
46.0,3.835e+02,3.468e+04,6.627e+01,3.513e+04
